TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,TP_ANO_CONCLUIU,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q022,Q024,Q025,MEDIA_NOTAS,STATUS
F,1,3,1,2,1.0,2.0,1.0,1.0,550.8,540.2,557.2,0,426.4,560.0,2,1,C,B,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,A,526.92,REPROVADO
F,1,2,1,2,1.0,4.0,1.0,1.0,400.1,455.7,490.6,0,551.6,580.0,4,4,C,D,3,7,0,1,3,2,0,2,1,1,0,0,0,0,2,3,1,B,495.6,REPROVADO
F,1,3,1,2,1.0,2.0,1.0,1.0,517.4,421.1,518.1,0,426.7,680.0,1,4,A,A,3,1,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,B,512.6600000000001,REPROVADO
M,1,3,1,2,1.0,2.0,1.0,1.0,408.0,444.9,483.0,0,529.8,280.0,1,2,C,B,3,6,0,1,3,1,0,1,0,1,0,0,0,0,1,2,0,B,429.14,REPROVADO
F,1,1,1,2,1.0,2.0,1.0,1.0,497.7,524.9,577.6,0,628.2,560.0,4,4,C,D,3,5,0,1,2,1,0,1,1,1,0,0,0,0,1,4,1,B,557.68,REPROVADO
M,1,1,1,2,1.0,2.0,1.0,1.0,612.4,572.7,644.7,0,761.6,640.0,4,2,F,B,3,2,0,2,1,0,0,1,1,0,0,0,0,0,2,2,0,B,646.28,REPROVADO
F,1,1,1,3,1.0,4.0,1.0,1.0,421.8,544.6,505.5,0,506.6,640.0,5,4,D,D,3,6,0,2,2,1,0,1,0,1,0,1,0,0,2,2,0,A,523.7,REPROVADO
F,1,3,1,2,1.0,2.0,1.0,1.0,506.8,591.2,520.6,0,490.5,800.0,3,3,A,A,6,1,0,1,3,0,1,1,0,0,0,0,0,0,1,3,0,B,581.8199999999999,REPROVADO
M,1,5,1,2,1.0,2.0,1.0,1.0,356.6,400.7,384.6,0,432.7,480.0,2,2,A,A,4,1,0,1,3,0,1,1,0,0,0,0,0,0,1,4,0,B,410.9200000000001,REPROVADO
F,1,3,1,2,1.0,2.0,1.0,1.0,457.4,450.8,508.3,0,480.3,580.0,0,0,A,B,2,1,0,1,2,0,0,1,0,0,0,0,0,0,1,3,0,A,495.36,REPROVADO
